DateRepConf,HealthStatus,Count
2020-09-25,RECOVERED,2477
2020-10-14,RECOVERED,1826
2020-09-15,RECOVERED,3454
2021-06-16,RECOVERED,5280
2020-10-13,RECOVERED,1949
2021-05-22,DIED,117
2020-11-30,DIED,24
2021-06-22,RECOVERED,3606
2020-12-06,RECOVERED,1710
2020-10-30,RECOVERED,1929
2021-02-26,RECOVERED,2587
2020-11-10,RECOVERED,1314
2021-05-14,DIED,131
2020-12-27,RECOVERED,847
2021-01-05,RECOVERED,894
2020-09-11,RECOVERED,3928
2021-08-10,RECOVERED,890
2021-08-09,RECOVERED,1513
2021-08-06,RECOVERED,10311
2021-02-08,RECOVERED,1647
2020-09-02,DIED,69
2020-10-17,RECOVERED,2571
2021-03-11,RECOVERED,3663
2020-09-29,RECOVERED,1915
2020-09-30,RECOVERED,2288
2020-09-27,RECOVERED,2867
2021-01-11,RECOVERED,2001
2020-11-27,RECOVERED,1587
2021-01-08,RECOVERED,1729
2021-07-13,RECOVERED,3537
2020-12-28,RECOVERED,732
2020-09-03,RECOVERED,1855
2020-09-08,RECOVERED,3164
2020-08-19,RECOVERED,4415
2020-11-25,RECOVERED,1159
2021-01-18,RECOVERED,2116
2020-10-02,ACTIVE,9
2020-11-30,RECOVERED,1741
2020-12-13,RECOVERED,1024
2021-05-10,RECOVERED,6669
2020-08-09,RECOVERED,2945
2020-06-28,RECOVERED,616
2020-08-27,DIED,75
2020-07-27,RECOVERED,1584
2020-07-24,RECOVERED,1906
2021-02-21,RECOVERED,1845
2021-05-25,RECOVERED,3880
2020-05-07,RECOVERED,323
2020-07-28,RECOVERED,1569
2020-08-29,RECOVERED,3487
2020-06-20,RECOVERED,876
2020-07-21,RECOVERED,1866
2020-06-25,RECOVERED,742
2020-05-17,RECOVERED,193
2020-06-12,RECOVERED,572
2021-01-04,RECOVERED,928
2020-05-12,RECOVERED,249
2021-01-24,RECOVERED,1898
2020-06-19,RECOVERED,619
2020-07-05,RECOVERED,2253
2020-08-28,RECOVERED,3823
2020-11-15,RECOVERED,1485
2020-12-15,RECOVERED,1098
2020-10-27,RECOVERED,1474
2021-01-20,RECOVERED,1628
2021-04-21,DIED,166
2020-11-20,RECOVERED,1574
2021-02-18,RECOVERED,1707
2020-10-24,RECOVERED,2008
2021-02-13,DIED,32
2020-10-23,RECOVERED,1856
2020-08-11,RECOVERED,2804
2020-09-06,RECOVERED,2716
2020-09-18,RECOVERED,3108
2020-09-30,DIED,66
2021-03-16,RECOVERED,4332
2020-10-20,RECOVERED,1579
2021-02-15,RECOVERED,1644
2020-12-31,RECOVERED,1499
2021-08-04,DIED,99
2020-11-26,RECOVERED,1354
2021-07-08,DIED,98
2021-02-11,RECOVERED,1690
2021-04-11,DIED,143
2021-06-11,DIED,126
2020-12-30,RECOVERED,967
2021-01-25,RECOVERED,1543
2021-01-06,RECOVERED,991
2021-07-28,RECOVERED,4359
2020-12-04,RECOVERED,898
2020-11-24,RECOVERED,1097
2021-05-17,DIED,102
2020-12-05,RECOVERED,1684
2020-06-29,RECOVERED,939
2020-12-26,RECOVERED,1367
2020-11-01,RECOVERED,2325
2020-09-21,RECOVERED,2798
2020-12-03,RECOVERED,1016
2020-11-05,RECOVERED,1530
2021-01-01,RECOVERED,1721
2020-11-22,RECOVERED,1912
2021-07-02,RECOVERED,6068
2020-06-08,RECOVERED,538
2021-02-02,RECOVERED,1550
2021-04-07,DIED,109
2020-08-26,DIED,89
2020-09-04,RECOVERED,3564
2020-09-02,RECOVERED,2113
2020-12-11,RECOVERED,1464
2021-01-07,RECOVERED,1310
2020-10-07,RECOVERED,2700
2020-10-15,RECOVERED,2202
2021-07-06,DIED,78
2020-11-12,RECOVERED,1360
2021-04-15,DIED,173
2020-12-10,RECOVERED,1335
2020-12-12,RECOVERED,1256
2020-06-22,RECOVERED,592
2021-08-02,DIED,75
2021-01-23,RECOVERED,1760
2021-01-31,RECOVERED,2055
2021-02-24,RECOVERED,1510
2021-01-03,RECOVERED,864
2020-04-26,RECOVERED,265
2020-04-23,RECOVERED,259
2020-06-03,RECOVERED,708
2020-04-24,RECOVERED,204
2020-05-27,RECOVERED,358
2020-05-19,RECOVERED,214
2020-07-01,RECOVERED,798
2020-06-07,RECOVERED,509
2020-06-16,RECOVERED,333
2020-06-06,DIED,31
2021-01-14,RECOVERED,1851
2020-12-31,DIED,32
2021-03-15,DIED,66
2020-11-16,RECOVERED,1685
2021-01-26,RECOVERED,1136
2021-02-07,RECOVERED,1737
2021-01-17,RECOVERED,1850
2021-03-30,DIED,105
2020-11-27,DIED,32
2020-11-11,RECOVERED,1622
2020-11-13,RECOVERED,1848
2021-04-02,DIED,192
2021-03-21,DIED,96
2020-12-24,RECOVERED,1732
2021-05-05,DIED,147
2020-10-31,RECOVERED,1741
2020-11-11,ACTIVE,9
2020-09-13,DIED,65
2021-08-15,RECOVERED,136
2020-12-23,RECOVERED,1162
2021-05-07,DIED,123
2021-04-10,DIED,140
2021-03-04,RECOVERED,2393
2021-04-20,DIED,107
2020-11-20,DIED,42
2021-06-13,DIED,109
2021-02-14,RECOVERED,1887
2020-12-29,RECOVERED,845
2020-05-16,RECOVERED,206
2020-09-07,RECOVERED,1314
2020-12-19,RECOVERED,1442
2020-11-06,RECOVERED,2020
